Проблема	Вероятная причина	Аффирмация
Абсцесс (гнойник)	Беспокоящие мысли об обидах, пренебрежении и мести.	Я даю мыслям свободу. С прошлым покончено. У меня спокойно на душе.
Аденоиды	Трения в семье, споры. Ребенок, чувствующий себя нежеланным.	Этот ребенок нужен, он желанный и обожаемый.
Алкоголизм	«Кому это надо?» Чувство тщетности, вины, несоответствия. Неприятие собственной личности.	Я живу в сегодняшнем дне. Каждый момент приносит нечто новое. Я хочу понять, в чем моя ценность. Я люблю себя и одобряю свои действия.
Аллергия. См. также: «Сенная лихорадка»	Кого вы не выносите? Отрицание собственной силы.	Мир не опасен, он — друг. Мне не грозит никакая опасность. У меня нет разногласий с жизнью.
Аменорея (отсутствие менструации 6 и более месяцев). См. также: «Женские болезни» и «Менструация»	Нежелание быть женщиной. Неприязнь к самой себе.	Меня радует, что я такая, какая я есть. Я — это совершенное выражение жизни, и менструация всегда проходит гладко.
Амнезия (утрата памяти)	Страх. Бегство от жизни. Неспособность постоять за себя.	Во мне всегда присутствует разум, смелость и высокая оценка собственной личности. Жить — безопасно.
Ангина. См. также: «Горло», «Тонзилит»	Вы сдерживаетесь от грубых слов. Чувствуете неспособность выразить себя.	Я отбрасываю все ограничения и обретаю свободу быть собой.
Анемия (малокровие)	Отношения типа «До, но…» Дефицит радости. Страх перед жизнью. Неважное самочувствие.	Мне не вредит чувство радости во всех областях моей жизни. Я люблю жизнь.
Анемия серповидно-клеточная	Вера в собственную ущербность лишает радости жизни.	Ребёнок внутри вас живёт, вдыхая радость жизни, и питается любовью. Господь творит чудеса каждый день.
Аноректальное кровотечение (наличие крови в испражнениях)	Гнев и разочарование.	Я доверяю процессу жизни. В моей жизни случается только правильное и прекрасное.
Анус (задний проход). См. также: «Геморрой»	Неумение избавляться от накопившихся проблем, обид и эмоций.	Мне легко и приятно избавляться от всего, что уже не понадобится в жизни.
Анус: абсцесс (гнойник)	Злость на то, от чего хотите избавиться.	Избавление — совершенно безопасно. Моё тело покидает лишь то, что мне в жизни уже не нужно.
Анус: свищь	Неполное избавление от отбросов. Нежелание расставаться с мусором прошлого	Я с радостью расстаюсь с прошлым. Я наслаждаюсь свободой.
Анус: зуд	Чувство вины за прошлое	Я с радостью прощаю себя. Я наслаждаюсь свободой.
Анус: боль	Чувство вины. Желание наказания.	С прошлым покончено. Я выбираю любовь и одобряю себя и всё, что я сейчас делаю.
Апатия	Сопротивление чувствам. Подавление эмоций. Страх.	Чувствовать — безопасно. Я иду навстречу жизни. Я стремлюсь пройти через испытания жизни.
Аппендицит	Страх. Страх жизни. Блокирование всего хорошего.	Я — в безопасности. Я расслабляюсь, позволяю потоку жизни радостно течь дальше.
Аппетит (потеря). См. также: «Отсутствие аппетита»	Страх. Самозащита. Недоверие к жизни.	Я люблю и одобряю себя. Ничто мне не грозит. Жизнь радостна и безопасна.
Аппетит (чрезмерный)	Страх. Потребность в защите. Осуждение эмоций.	Я — в безопасности. Нет никакой угрозы моим чувствам.
Артерии	По артериям течёт радость жизни. Проблемы с артериями — неумение радоваться жизни.	Меня переполняет радость. Она растекается во мне при каждом ударе сердца.
Артрит пальцев руки	Желание наказания. Порицание себя. Такое чувство, что ты — жертва.	Я смотрю на всё с любовью и пониманием. Все события моей жизни я рассматриваю сквозь призму любви.
Артрит. См. также: «Суставы»	Чувство, что тебя не любят. Критика, обида.	Я есть любовь. Теперь я буду любить себя и одобрять свои поступки. Я с любовью смотрю на других людей.
Астма	Неспособность дышать для собственного блага. Чувство подавленности. Сдерживание рыданий.	Теперь можно спокойно брать свою жизнь в собственные руки. Я выбираю свободу.
Астма у младенцев и детей постарше	Боязнь жизни. Нежелание быть здесь.	Этот ребёнок — в полной безопасности, его любят.
Атеросклероз	Сопротивление. Напряжённость. Непоколебимая тупость. Отказ видеть хорошее.	Я полностью открываюсь жизни и радости. Теперь я смотрю на всё с любовью.
Бёдра (верхняя часть)	Устойчивая опора для тела. Основной механизм при движении вперёд.	Да здравствуют бёдра. Каждый день наполнен радостью. Я твёрдо стою на ногах и пользуюсь свободой.
Бёдра: заболевания	Боязнь движения вперёд в выполнении главных решений. Отсутствие целей.	Моя устойчивость абсолютна. Я легко и радостно иду вперёд по жизни в любом возрасте.
Бели. См. также: «Женские болезни», «Вагинит»	Убеждённость, что женщины бессильны влиять на противоположный пол. Злость на партнёра.	Это я создаю ситуации, в которых оказываюсь. Власть надо мной — это я сама. Моя женственность меня радует. Я — свободна.
Белые угри	Стремление скрыть некрасивую внешность.	Я считаю себя красивой и любимой.
Бесплодие	Страх и сопротивление жизненному процессу или отсутствие потребности в приобретении родительского опыта.	Я верю в жизнь. Делая нужное дело в нужное время, я всегда нахожусь там, где нужно. Я люблю и одобряю себя.
Бессонница	Страх. Недоверие к жизненному процессу. Чувство вины.	С любовью оставляю я этот день и отдаюсь мирному сну, зная, что завтрашний день позаботится сам о себе.
Бешенство	Злоба. Уверенность в том, что единственный ответ — это насилие.	Мир поселился во мне и вокруг меня.
Боковой амиотрофический склероз (Болезнь Лу Герига; болезнь Шарко)	Отсутствие желания признать собственную ценность. Непризнание успеха.	Я знаю, что я — стоящий человек. Достижение успеха безопасно для меня. Жизнь меня любит.
Болезнь Аддисона (хроническая недостаточность коры надпочечников). См. также: «Надпочечники: заболевания»	Острый эмоциональный голод. Гнев, направленный на себя.	Я с любовью забочусь о своём беле, мыслях, эмоциях.
Болезнь Альцгеймера (вид старческого слабоумия). См. также: «Слабоумие», «Старость»	Нежелание принимать мир таким, какой он есть. Безнадёжность и беспомощность. Гнев.	Всегда есть более новый, лучший способ наслаждаться жизнью. Я прощаю и предаю прошлое забвению. Я отдаюсь радости.
Болезнь Гектингтона	Огорчение, вызванное неспособностью изменить других людей.	Весь контроль я отдаю Вселенной. В моей душе покой. Разногласий с жизнью нет.
Болезнь Кушинга. См. также: «Надпочечники: заболевание»	Нарушение психики. Переизбыток разрушительных идей. Ощущение, что вас пересилили.	Я с любовью принимаю мои тело и дух. Теперь в моей голове только мысли, улучшающие самочувствие.
Болезнь Паркинсона. См. также: «Парез»	Страх и сильное желание контролировать всё и вся.	Я расслабляюсь, сознавая, что я в полной безопасности. Жизнь создана для меня, и я доверяюсь жизненному процессу.
Болезнь Педжета (деформирующий остоз)	Кажется, что больше нет той основы, на которой можно строить свою жизнь. «Всем наплевать».	Я знаю, что жизнь даёт мне замечательную поддержку. Жизнь меня любит и заботится обо мне.
Болезнь Ходжкина (заболевание лимфатической системы)	Чувство вины и жуткий страх, что вы не на высоте. Лихорадочные попытки доказать собственную ценность до тех пор, пока в крови не иссякнет запас необходимых ей веществ. В гонке за самоутверждением забываете о радостях жизни.	Для меня счастье — быть собой. Будучи тем, что я есть, я вполне соответствую всем требованиям. Я люблю и одобряю себя. Я принимаю радость и дарю.
Боль	Чувство вины. Вина всегда ищет наказания.	Я с радостью расстаюсь с прошлым. Они свободны — и я тоже. На душе у меня теперь спокойно.
Боли	Стремление к любви. Желание объятий.	Я люблю себя и одобряю свои действия. Я люблю и могу вызывать чувство любви в других.
Боль от газов в кишечнике (метеоризм)	Зажатость. Страх. Нереализованные идеи.	Я расслабляюсь и позволяю жизни легко и свободно течь во мне.
Бородавки	Мелкое выражение ненависти. Вера в уродство.	Я — это любовь и красота жизни в её полном проявлении.
Бородавка подошвенная (роговая)	Будущее разочаровывает вас всё сильнее и сильнее.	Я продвигаюсь вперёд легко и уверенно. Я доверяюсь процессу жизни и смело следую за ним.
Брайтова болезнь (гломерулонефрит). См. также: «Нефрит»	Ощущение себя никчемным ребёнком, всё делающим неправильно. Неудачник. Разиня.	Я люблю себя и одобряю. Я забочусь о себе. Я — всегда на высоте.
Бронхит. См. также: «Респираторные заболевания»	Нервозная атмосфера в семье. Споры и крики. Редкое затишье.	Я объявляю о мире и гармонии во мне и вокруг меня. Всё идёт хорошо.
Булимия (обострённое чувство голода)	Страх и безнадёжность. Лихорадочное переполнение и избавление от чувства ненависти к себе.	Меня любит, питает и поддерживает сама Жизнь. Жить для меня — безопасно.
Бурсит (воспаление синовиальной сумки)	Символизирует гнев. Желание ударить кого-либо.	Любовь расслабляет и избавляет от всего, что не похоже на неё.
Бурсит большого пальца стопы	Отсутствие радости при взгляде не жизнь.	Я радостно бегу вперёд, чтобы приветствовать удивительные события моей жизни.
Вагинит (воспаление слизистой оболочки влагалища). См. также: «Женские болезни», «Бели»	Злость на партнёра. Чувство вины на сексуальной почве. Наказание себя.	Мои любовь к себе и одобрение отражаются в отношении людей ко мне. Меня радует моя сексуальность.
Варикозное расширение вен	Пребывание в ненавистной вам ситуации. Неодобрение. Чувство перегруженности и задавленности работой.	Я дружу с правдой, я с радостью живу и иду вперёд. Я люблю жизнь и свободно вращаюсь в ней.
Венерические болезни. См. также: «СПИД», «Гонорея»,«Герпес», «Сифилис»	Чувство вины на сексуальной почве. Потребность в наказании. Уверенность, что гениталии греховны или нечисты.	Я с любовью и радостью принимаю и мою сексуальность, и её проявления. Я принимаю только мысли, которые дают мне поддержку и улучшают моё самочувствие.
Ветряная оспа	Томительное ожидание события. Страх и напряжение. Повышенная чувствительность.	Я доверяюсь естественному процессу жизни, отсюда моя расслабленность и миролюбие. Всё в моём мире идёт хорошо.
Вирусная инфекция. См. также: «Инфекция»	Отсутствие в жизни радости. Горечь.	Я с удовольствием позволяю потоку радости проходить через мою жизнь.
Вирус Эпстейна-Барра	Стремление выйти за пределы ваших возможностей. Боязнь оказаться не на высоте. Истощение внутренних ресурсов. Вирус стресса.	Я расслабляюсь и признаю мою самоценность. Я — на должной высоте. Жизнь — легка и радостна.
Витилиго (пегая кожа)	Чувство полной отчуждённости от всего. Вы не в своём кругу. Не член группы.	Я нахожусь в самом центре жизни, и она полна любви.
Волдыри	Сопротивление. Отсутствие эмоциональной защиты.	Я мягко следую за жизнью и за каждым новым событием в ней. Всё в порядке.
Волчанка красная	Опускаются руки. Вам лучше умереть, чем постоять за себя. Гнев и наказание.	Я могу легко и спокойно постоять за себя. Я утверждаю, что полностью распоряжаюсь собой. Я люблю себя и одобряю. Моя жизнь свободна и безопасна.
Воспаление. См. также: «Воспалительные процессы»	Страх. Ярость. Воспалённое сознание.	Мои мысли тихие, спокойные, сконцентрированные.
Воспалительные процессы	Условия, которые вам приходится видеть в жизни, вызывают гнев и разочарование.	Я хочу изменить все стереотипы критики. Я люблю себя и одобряю.
Вросший ноготь пальца стопы	Беспокойство и чувство вины по поводу вашего права двигаться вперёд.	Выбирать направление моего движения по жизни — моё священное право. Я — в безопасности, я — на свободе.
Вульва (наружные женские половые органы)	Символ уязвимости.	Быть ранимой — безопасно.
Выделения гноя (периодонтит)	Гнев на неспособность принимать решения. Люди с неопределённым отношением к жизни.	Я одобряю себя, и самое подходящее для меня — это мои решения.
Выкидыш (самопроизвольный аборт)	Страх. Страх перед будущим. «Не сейчас — после». Ошибочный выбор момента.	Божественное провидение заботится о том, что происходит со мной в жизни. Я люблю и ценю себя. Всё идёт хорошо.
Гангрена	Болезненная чувствительность психики. Радость тонет в недобрых мыслях.	Отныне все мои мысли — гармоничны, и радость свободно растекается по мне.
Гастрит См. также: «Желудочные болезни»	Затянувшаяся неопределённость. Чувство обречённости.	Я люблю и одобряю себя. Я — в безопасности.
Геморрой См. также: «Анус»	Боязнь не уложиться в отведённое время. Гнев в прошлом. Страх перед расставанием. Отягощённые чувства.	Я расстаюсь со всем, кроме любви. Всегда есть место и время делать то, что я хочу.
Гениталии	Символизируют мужские или женские принципы.	Совершенно безопасно быть тем, кто я есть.
Гениталии: проблемы	Боязнь оказаться не на высоте.	Я радуюсь тому выражению жизни, каковым я являюсь. В моём нынешнем состоянии я — совершенство. Я люблю и одобряю себя.
