Problem	Probable cause	Affirmation
Abscess (boil)	Troubling thoughts of resentment, neglect, and revenge.	I give my thoughts freedom. The past is finished. I am at peace.
Adenoids	Friction in the family, arguments. A child who feels unwanted.	This child is wanted, cherished, and deeply loved.
Alcoholism	"What's the use?" Feelings of futility, guilt, and not fitting in. Rejection of the self.	I live in the present. Each moment brings something new. I want to understand my worth. I love and approve of myself.
Allergy. See also: Hay fever	Who can't you stand? Denial of your own power.	The world is not dangerous; it is my friend. No danger threatens me. I have no conflict with life.
Amenorrhea (absence of menstruation for 6 months or more). See also: Women's illnesses and Menstruation	Unwillingness to be a woman. Dislike of oneself.	I am delighted to be exactly who I am. I am a perfect expression of life, and my menstruation flows with ease.
Amnesia (memory loss)	Fear. Running from life. Inability to stand up for oneself.	Reason, courage, and self-worth are always present within me. It is safe to live.
Angina. See also: Throat, Tonsillitis	Holding back angry words. Feeling unable to express yourself.	I release all restrictions and claim the freedom to be myself.
Anemia (low blood count)	"Yes, but..." relationships. Lack of joy. Fear of life. Feeling unwell.	It is safe for me to feel joy in every area of my life. I love life.
Sickle cell anemia	Belief in one's own unworthiness robs the joy of life.	The child within me lives, breathing the joy of life, nourished by love. Miracles happen every day.
Anorectal bleeding (blood in the stool)	Anger and disappointment.	I trust the process of life. Only what is right and beautiful happens in my life.
Anus (rectum). See also: Hemorrhoids	Inability to let go of accumulated problems, hurts, and emotions.	It is easy and pleasant for me to release everything I no longer need in life.
Anus: abscess (boil)	Anger about what you want to release.	Letting go is completely safe. My body releases only what I no longer need in life.
Anus: fistula	Incomplete release of waste. Unwillingness to let go of the garbage of the past.	I joyfully release the past. I enjoy my freedom.
Anus: itching	Guilt about the past.	I joyfully forgive myself. I enjoy my freedom.
Anus: pain	Guilt. Desire for punishment.	The past is finished. I choose love and approve of myself and everything I do now.
Apathy	Resistance to feelings. Suppressed emotions. Fear.	It is safe to feel. I move toward life. I am willing to move through life's experiences.
Appendicitis	Fear. Fear of life. Blocking all that is good.	I am safe. I relax and allow the flow of life to move joyfully through me.
Appetite (loss). See also: Loss of appetite	Fear. Self-protection. Distrust of life.	I love and approve of myself. Nothing threatens me. Life is joyful and safe.
Appetite (excessive)	Fear. Need for protection. Judgment of emotions.	I am safe. There is no threat to my feelings.
Arteries	Joy of life flows through the arteries. Artery problems reflect inability to enjoy life.	I am filled with joy. It flows through me with every heartbeat.
Arthritis of the fingers	Desire for punishment. Self-blame. Feeling like a victim.	I look at everything with love and understanding. I view every event in my life through the lens of love.
Arthritis. See also: Joints	Feeling unloved. Criticism, resentment.	I am love. Now I love and approve of myself. I look at others with love.
Asthma	Inability to breathe for one's own good. Feeling smothered. Holding back sobs.	It is now safe for me to take charge of my own life. I choose freedom.
Asthma in infants and older children	Fear of life. Unwillingness to be here.	This child is completely safe and is loved.
Atherosclerosis	Resistance. Tension. Inflexible stubbornness. Refusal to see the good.	I am fully open to life and joy. Now I look at everything with love.
Hips (upper part)	Stable support for the body. The main mechanism for moving forward.	Hurrah for my hips. Each day is filled with joy. I stand firmly on my feet and enjoy freedom.
Hips: disorders	Fear of moving forward with major life decisions. Lack of goals.	My stability is absolute. I move forward through life with ease and joy at any age.
Leukorrhea. See also: Women's illnesses, Vaginitis	Conviction that women are powerless over the opposite sex. Anger at a partner.	I create the situations I am in. The only power over me is my own. I delight in my femininity. I am free.
Whiteheads	Desire to hide an unattractive appearance.	I see myself as beautiful and loved.
Infertility	Fear and resistance to the life process, or lack of need for the parenting experience.	I trust life. Doing what needs to be done at the right time, I am always where I need to be. I love and approve of myself.
Insomnia	Fear. Distrust of the life process. Guilt.	With love I release this day and surrender to peaceful sleep, knowing tomorrow will take care of itself.
Rabies	Malice. Belief that violence is the only answer.	Peace lives within me and all around me.
Amyotrophic lateral sclerosis (Lou Gehrig's disease; Charcot's disease)	Refusal to recognize one's own worth. Denial of success.	I know I am a worthy person. Success is safe for me. Life loves me.
Addison's disease (chronic adrenal cortex insufficiency). See also: Adrenal disorders	Acute emotional starvation. Anger turned inward.	I lovingly nurture my body, thoughts, and emotions.
Alzheimer's disease (senile dementia). See also: Senility, Old age	Unwillingness to accept the world as it is. Hopelessness and helplessness. Anger.	There is always a newer, better way to enjoy life. I forgive and release the past. I surrender to joy.
Huntington's disease	Distress from inability to change other people.	I release all control to the Universe. My mind is at peace. I have no conflict with life.
Cushing's disease. See also: Adrenal disorders	Mental disturbance. Excess of destructive ideas. Feeling overpowered.	I lovingly accept my body and spirit. Now only thoughts that support my well-being live in my mind.
Parkinson's disease. See also: Paresis	Fear and intense desire to control everything.	I relax, knowing I am completely safe. Life is for me, and I trust the life process.
Paget's disease (deforming osteitis)	Feeling there is no foundation left on which to build your life. "Nobody cares."	I know life gives me wonderful support. Life loves and cares for me.
Hodgkin's disease (lymphatic system disorder)	Guilt and intense fear of not measuring up. Frantic attempts to prove your worth until the blood runs dry of what it needs. In the race for self-assertion, you forget life's joys.	My happiness is being myself. As I am, I am good enough. I love and approve of myself. I accept and give joy.
Pain	Guilt. Guilt always seeks punishment.	I joyfully release the past. They are free—and so am I. My mind is at peace now.
Aches	Yearning for love. Desire for hugs.	I love and approve of myself. I love and can inspire love in others.
Intestinal gas pain (flatulence)	Tightness. Fear. Unrealized ideas.	I relax and allow life to flow easily and freely through me.
Warts	Petty expressions of hate. Belief in ugliness.	I am love and the beauty of life in full expression.
Plantar wart (corn)	The future disappoints you more and more.	I move forward with ease and confidence. I trust the process of life and follow it boldly.
Bright's disease (glomerulonephritis). See also: Nephritis	Feeling like a worthless child who does everything wrong. Failure. Clumsiness.	I love and approve of myself. I take care of myself. I am always good enough.
Bronchitis. See also: Respiratory illnesses	Nervous atmosphere in the family. Arguments and shouting. Rare quiet moments.	I declare peace and harmony within me and all around me. All is well.
